ID,TL,VD,DC,VA,SPECIMEN,WEEK
m,76,21,95,103,A,one
m,84,24,95,114,B,one
m,85,19,108,125,C,one
m,71,21,93,133,D,one
m,80,21,93,107,A,two
m,84,23,97,116,B,two
m,85,20,107,124,C,two
m,73,22,92,128,D,two
m,80,21,95,108,A,three
m,85,23,95,115,B,three
m,85,19,105,122,C,three
m,71,22,98,123,D,three
r,80,21,90,105,A,one
r,85,23,92,106,B,one
r,86,20,101,124,C,one
r,72,23,91,126,D,one
r,80,21,95,102,A,two
r,85,23,94,115,B,two
r,85,20,103,122,C,two
r,71,21,92,124,D,two
r,80,21,94,105,A,three
r,84,24,94,115,B,three
r,84,20,105,122,C,three
r,71,21,92,124,D,three
c,79,20,92,103,A,one
c,85,24,97,115,B,one
c,89,20,105,122,C,one
c,69,22,95,130,D,one
c,80,20,95,105,A,two
c,84,22,94,116,B,two
c,85,20,106,121,C,two
c,71,22,92,127,D,two
c,80,20,95,107,A,three
c,89,24,94,115,B,three
c,85,20,108,124,C,three
c,71,22,93,130,D,three
